stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11551,11551,SUITLAND METRO STATION,,38.845251,-76.932590,,,0,,,0
11553,11553,M ST & ISAAC HULL AVE SE opp wb,,38.876504,-76.997680,,,0,,,0
11555,11555,M ST & 4TH ST SW wb,,38.876567,-77.017307,,,0,,,0
11556,11556,4TH ST & E ST SW nb,,38.883504,-77.017473,,,0,,,0
11557,11557,4TH ST & C ST SW nb,,38.885906,-77.017448,,,0,,,0
11559,11559,N CAPITOL ST & E ST (UNION STATION) nb,,38.896355,-77.008891,,,0,,,0
11560,11560,N CAPITOL ST & H ST nb,,38.899973,-77.008958,,,0,,,0
11561,11561,N CAPITOL ST & H ST NW sb,,38.899876,-77.009171,,,0,,,0
11562,11562,MASSACHUSETTS AVE & COLUMBUS CIR NE eb,,38.897140,-77.008693,,,0,,,0
11563,11563,LOUISIANA AVE & D ST NW (IBT HEADQUARTERS) sb,,38.894946,-77.009471,,,0,,,0
11564,11564,3RD ST & CONSTITUTION AVE NW fs sb,,38.891768,-77.015421,,,0,,,0
11565,11565,4TH ST & C ST SW sb,,38.885628,-77.017643,,,0,,,0
11566,11566,4TH ST & E ST SW sb,,38.884173,-77.017645,,,0,,,0
11567,11567,M ST & 4TH ST SW eb,,38.876353,-77.016543,,,0,,,0
11569,11569,M ST & ISAAC HULL AVE SE eb,,38.876385,-76.997357,,,0,,,0
11570,11570,M ST & 9TH ST SE eb,,38.876389,-76.993011,,,0,,,0
11572,11572,PRINCE FREDERICK P&R (FAIRGROUND & ARMORY RD),,38.548248,-76.581118,,,0,,,0
11573,11573,SUNDERLAND P&R (MD-2 NEAR MD-4 & MD-262),,38.664203,-76.604428,,,0,,,0
11574,11574,DUNKIRK P&R MD 525 near MD4,,38.727375,-76.656347,,,0,,,0
11575,11575,INDEPENDENCE AVE & 1ST ST SE wb,,38.887692,-77.005684,,,0,,,0
11576,11576,INDEPENDENCE AVE & 4TH ST SW wb,,38.887654,-77.017313,,,0,,,0
11577,11577,7TH ST & MARYLAND & INDEPENDENCE AVES. SW nb,,38.887167,-77.021784,,,0,,,0
11578,11578,PENNSYLVANIA AVE & 7TH ST NW fs wb,,38.893606,-77.022483,,,0,,,0
11579,11579,PENNSYLVANIA AVE & 10TH ST NW wb,,38.894171,-77.025581,,,0,,,0
11580,11580,PENNSYLVANIA AVE & 12TH ST NW wb,,38.895319,-77.028582,,,0,,,0
11581,11581,12TH ST & G ST NW nb,,38.898508,-77.028039,,,0,,,0
11582,11582,K ST & 13TH ST NW wb,,38.902593,-77.030139,,,0,,,0
11583,11583,K ST & 15TH ST NW wb,,38.902609,-77.035179,,,0,,,0
11584,11584,K ST & 17TH ST & CONNECTICUT NW wb,,38.902626,-77.039246,,,0,,,0
11585,11585,K ST & 19TH ST NW wb,,38.902589,-77.043224,,,0,,,0
11586,11586,21ST ST & M ST NW fs sb,,38.905281,-77.046684,,,0,,,0
11587,11587,19TH ST & PENN AVE & H ST NW sb,,38.899879,-77.043521,,,0,,,0
11588,11588,19TH ST & E ST NW sb,,38.896049,-77.043325,,,0,,,0
11590,11590,20TH ST & E ST NW nb,,38.895836,-77.044709,,,0,,,0
